English	Swedish	POS	source	row
query queries queried querying	förfrågan förfrågningar avfrågas fråge	N?	0	ICT	2653
query, queries	fråga, frågan, frågor	N	1	GF	1178
question	fråga	N?	0	ICT	2656
question questions	fråga frågor	N?	0	ICT	2654
question, questioned, questioned	 ifrågasätter, ifrågasatte, ifrågasatt	V	1	GF	1179
Question-answering (fact retrieval) systems [**]		N?	0	ACM	892
queue queued queuing	kö kö köa	N?	0	ICT	2655
queue, queued, queued	 köa, köade, köat	V	1	GF	1180
queue, queues	kö, kön, köer	N	1	GF	1181
Queueing theory	Köteori	N?	0	ACM	523
Queueing theory	Köteori	N?	0	ACM	789
Queueing theory [**]	Köteori [**]	N?	0	ACM	810
quick	snabb, snabbt, snabba	A	1	GF	1182
quickly	snabbt	N?	0	ICT	2657
quite	ganska	N?	0	ICT	2658
quotation	offert	N?	0	ICT	2659
quoted	citerade	N?	0	ICT	2660
radar measurements	radarmätningar	N?	0	ICT	2661
radial basis function neural network	radial basis funktion neurala nätverk	N?	0	ICT	2662
radiate radiated	utstråla utstrålade	N?	0	ICT	2663
radiation	strålningsdrag	N?	0	ICT	2664
radiator	radiator	N?	0	ICT	2665
radical	radikal	N?	0	ICT	2666
radio access networks	radioaccessnät	N?	0	ICT	2668
radio access transport network	radioåtkomsttransportnätet	N?	0	ICT	2669
radio base station/radio base stations	radiobasstation/radiobassstationer	N?	0	ICT	2670
radio frequency	radiofrekvens	N?	0	ICT	2671
radio frequency identification/radio-frequency identification	radiofrekvensidentifiering	N?	0	ICT	2672
radio spectrum utilization	radiospektrum utnyttjas	N?	0	ICT	2673
radio, radios	radio, radion, radior	N	1	GF	1183
radio-based	radiobaserad	N?	0	ICT	2674
Radio-frequency identification (RFID)	radiofrekvensidentifiering 	N?	0	ICT	2676
Radiometry	Radiometri	N?	0	ACM	1153
Radiosity	Strålning (radiositet)	N?	0	ACM	1139
radiotelecommunication	radiotelekommunikations	N?	0	ICT	2675
radio|s	radio radioapparater	N?	0	ICT	2667
radius	radie	N?	0	ICT	2677
RADIUS authentication	RADIUS-autentisering	N?	0	ICT	2678
raise|s raised	höja höjningar höjde	N?	0	ICT	2679
RAM disk	RAM-disk 	N?	0	ICT	2680
random	slumpmässig, slumpmässigt, slumpmässiga	A	1	GF	1184
random access memory (RAM)		N?	0	ICT	2681
Random number generation		N?	0	ACM	790
random testing	slumpmässig testning	N?	0	ICT	2682
randomization, randomizations	randomisering, randomiseringen, randomiseringar	N	1	GF	1185
randomized	randomiserad	N?	0	ICT	2683
randomly	slumpvis	N?	0	ICT	2684
Range data	Omfångsdata	N?	0	ACM	1194
ranged	varierade	N?	0	ICT	2686
range|s	intervall	N?	0	ICT	2685
ranging	omfång	N?	0	ICT	2687
rapid	snabb, snabbt, snabba	A	1	GF	1186
Rapid prototyping [**]	Prototypsystem [**]	N?	0	ACM	413
rapid rapidly	snabb/hastig snabbt	N?	0	ICT	2688
rapid-fading	snabb-fädning	N?	0	ICT	2689
rarely	sällan	N?	0	ICT	2690
Raster display devices	Rasterskärmar	N?	0	ACM	1092
rate control	matningshastighet	N?	0	ICT	2691
rate rates rating ratings	grad/mått                 uppskattning/värdering	N?	0	ICT	2692
rate, rated, rated	 räkna, räknade, räknat	V	1	GF	1187
rate, rates	takt, takten, takter	N	1	GF	1188
rating	gradering	N?	0	ICT	2693
ratio	förhållande	N?	0	ICT	2694
ratio, ratios	kvot, kvoten, kvoter	N	1	GF	1189
Rational approximation		N?	0	ACM	689
raw	rå, rått, råa	A	1	GF	1190
ray, rayed, rayed	 stråla, strålade, strålat	V	1	GF	1191
ray, rays	stråle, strålen, strålar	N	1	GF	1192
Rayleigh-distributed	Rayleigh-distribuerad	N?	0	ICT	2695
Raytracing	Strålföljning	N?	0	ACM	1140
re-authentication	re-autentisering	N?	0	ICT	2717
re-establishment	återupprättande	N?	0	ICT	2739
re-sends	åter sänder	N?	0	ICT	2816
re-thinking	omprövning	N?	0	ICT	2848
reach reaches reached	nå når nådde	N?	0	ICT	2696
reachable reachability	nåbar nåbarhet	N?	0	ICT	2697
react reactive	reagera reaktiv	N?	0	ICT	2698
read reads reading	läs läser läsning	N?	0	ICT	2699
read, read, read	 läsa, läste, läst	V	1	GF	1193
Read-only memory (ROM)	Läsminne (ROM)	N?	0	ACM	62
reader, readers	läsare, läsaren, läsare	N	1	GF	1194
readiness, readinesses	beredskap, beredskapen, beredskaper	N	1	GF	1195
ready readily	färdig lätt	N?	0	ICT	2700
real	riktig	N?	0	ICT	2701
Real time	Realtid	N?	0	ACM	1335
real time control protocol (RTCP)	realtids kontrollprotokoll	N?	0	ICT	2703
real time filtering	realtidsfiltrering	N?	0	ICT	2704
real time operating system (RTOS)	realtidsoperativsystem	N?	0	ICT	2705
real-time analysis	realtidsanalys	N?	0	ICT	2706
Real-time and embedded systems	Realtidssystem och inbyggda system	N?	0	ACM	276
real-time communication	realtidskommunikation	N?	0	ICT	2707
real-time measurements	realtidsmätningar	N?	0	ICT	2708
real-time services	realtidstjänster	N?	0	ICT	2709
real-time system	realtidssystem	N?	0	ICT	2710
Real-time systems and embedded systems	Realtidssystem och inbyggda system	N?	0	ACM	517
real-time transport protocol	realtidstransport protokollet	N?	0	ICT	2711
reality	verklighet	N?	0	ICT	2712
reality, realities	verklighet, verkligheten, verkligheter	N	1	GF	1196
realizes realized	realiserar realiseras	N?	0	ICT	2713
really	verkligen	N?	0	ICT	2714
reasoning, reasonings	resonemang, resonemanget, resonemang	N	1	GF	1197
reassembly	återmontering	N?	0	ICT	2715
reassociation	reassociering	N?	0	ICT	2716
receipt	kvitto	N?	0	ICT	2718
receiver receivers received receives receive receiving	mottagar mottagare mottagna mottar mottaga mottagnings	N?	0	ICT	2719
Receivers (e.g., voice, data, image) [**]	Mottagare (t.ex. röst, data, bild) [**]	N?	0	ACM	87
recent	färsk, färskt, färska	A	1	GF	1198
recently	nyligen	N?	0	ICT	2720
reception	mottagning	N?	0	ICT	2721
recipient	mottagare	N?	0	ICT	2722
reciprocal	ömsesidig	N?	0	ICT	2723
recognition, recognitions	igenkänning, igenkänningen, igenkänningar	N	1	GF	1199
recognize recognition	erkänna erkännande	N?	0	ICT	2724
recommend recommends recommended recommendation	rekommenderar rekommenderar rekommenderas rekommendation	N?	0	ICT	2725
recommendation engines	rekommendationsmotorer	N?	0	ICT	2726
recommender system	rekommendationssystemet	N?	0	ICT	2727
reconfigurable reconfiguring reconfiguration	rekonfigurerbar omkonfigurering omkonfigurering	N?	0	ICT	2728
Reconstruction	Rekonstruktion	N?	0	ACM	1172
Record classification [**]		N?	0	ACM	878
record records recording recordings recorder recorded	rekord register inspelning inspelningar inspel inspelad	N?	0	ICT	2729
recorder, recorders	registrator, registratorn, registratorer	N	1	GF	1200
recording, recordings	inspelning, inspelningen, inspelningar	N	1	GF	1201
Records	Poster	N?	0	ACM	541
recoverable	återhämtningsbar, återhämtningsbart, återhämtningsbara	A	1	GF	1202
Recovery and restart		N?	0	ACM	834
recovery recovering	återvinning utvinning	N?	0	ICT	2730
recovery, recoveries	återhämtning, återhämtningen, håterhämtningar	N	1	GF	1203
rectangular	rektangulär	N?	0	ICT	2731
Recurrences and difference equations		N?	0	ACM	770
Recursion	Rekursion	N?	0	ACM	452
recursion, recursions	rekursion, rekursionen, rekursioner	N	1	GF	1204
recursive	rekursiv, rekursivt, rekursiva	A	1	GF	1205
recursive data type, recursive data types	rekursiv datatyp, rekursiva datatypen, rekursiva datatyper	N	1	GF	1206
Recursive function theory		N?	0	ACM	645
recycling	återvinning	N?	0	ICT	2732
red-green-blue (RGB)	färgerna rött, grönt och blått	N?	0	ICT	2733
redefinition	omdefiniering	N?	0	ICT	2734
redial	återuppringning	N?	0	ICT	2735
redirect redirects redirected redirection	omdirigera omdirigeringar omdirigeras omdirigering	N?	0	ICT	2736
reduce reduces reducing reduced reduction	minska minskar reducerande reducerat minskning	N?	0	ICT	2737
reduce, reduced, reduced	 minska, minskade, minskat	V	1	GF	1207
Reducibility and completeness	Reducerbarhet och fullständighet	N?	0	ACM	589
reduction, reductions	reduktion, reduktionen, reduktioner	N	1	GF	1208
redundancy, redundancies	överskott, överskottet, överskott	N	1	GF	1209
redundant	överflödig, överflödigt, överflödiga	A	1	GF	1210
Redundant design [**]	Redundant design [**]	N?	0	ACM	179
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	111
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	131
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	148
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	24
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	52
Redundant design [**]	Redundant konstruktion [**]	N?	0	ACM	80
redundant redundancy	redundanta redundans	N?	0	ICT	2738
Reengineering	Omstrukturering	N?	0	ACM	1388
Reentrant code [**]		N?	0	ACM	341
refer refers referred reference references	hänvisa hänvisar avses referens referenser	N?	0	ICT	2740
REFERENCE (e.g., dictionaries, encyclopedias, glossaries)	Referensverk (t.ex. lexikon, encyklopedier, ordlistor)	N?	0	ACM	7
reference, references	referens, referensen, referenser	N	1	GF	1211
refill/top-up	påfyllning / top-up	N?	0	ICT	2742
refill|s	påfyllning påfyllnad 	N?	0	ICT	2741
refine	förfina	N?	0	ICT	2743
reflect reflected reflection	reflektera reflekterade reflektion/eftertanke	N?	0	ICT	2744
Reflectance	Reflexionsfaktor	N?	0	ACM	1154
reflection, reflections	reflektion, reflektionen, reflektioner	N	1	GF	1212
regard regarded regarding	beaktande betraktas beträffande	N?	0	ICT	2745
regardless	oavsett	N?	0	ICT	2746
regeneration	regenerering	N?	0	ICT	2747
Region growing, partitioning	Regionodling, regionuppdelning	N?	0	ACM	1179
region regional	regionen regionalt	N?	0	ICT	2748
region, regions	område, området, områden	N	1	GF	1213
register registered registers registering registration	"registrera registrerade register ""som registrerar"" registrering"	N?	0	ICT	2749
register transfer level (RTL) model		N?	0	ICT	2750
register, registered, registered	 registrera, registrerade, registrerat	V	1	GF	1214
register, registers	register, registret, register	N	1	GF	1215
REGISTER-TRANSFER-LEVEL IMPLEMENTATION	REGISTER - ÖVERFÖRING - NIVÅIMPLEMENTERING	N?	0	ACM	114
registrar registrars	registrator registratorer	N?	0	ICT	2751
Registration	Registrering	N?	0	ACM	1164
registration registrations	registrerings registreringar	N?	0	ICT	2752
regular	regelbunden, regelbundet, regelbundna	A	1	GF	1216
regular	vanlig	N?	0	ICT	2753
regular expression (regex or regexp)	reguljära uttryck 	N?	0	ICT	2754
regular expression, regular expressions	reguljärt uttryck, reguljära uttrycket, reguljära uttryck	N	1	GF	1217
Regulation	Föreskrifter/författningar	N?	0	ACM	1376
Regulation	Reglering	N?	0	ACM	1407
regulation regulations	regler reglering	N?	0	ICT	2755
regulatory	reglerande	N?	0	ICT	2756
reinforce, reinforced, reinforced	 förstärka, förstärkte, förstärkt	V	1	GF	1218
reinsurance	återförsäkring	N?	0	ICT	2758
reject rejecting rejected	förkasta förkasta förkastas	N?	0	ICT	2759
relate, related, related	 relatera, relaterade, relaterat	V	1	GF	1219
related	relaterad	N?	0	ICT	2760
Relation systems	Relationssystem	N?	0	ACM	1028
relation, relations	relation, relationen, relationer	N	1	GF	1220
relational database, relational databases	relationsdatabas, relationsdatabasen, relationsdatabaser	N	1	GF	1221
Relational databases		N?	0	ACM	848
relations	förbindelser	N?	0	ICT	2761
Relations among complexity classes	Relationer mellan komplexitetsklasser	N?	0	ACM	590
Relations among complexity measures	Relationer mellan komplexitetsmått	N?	0	ACM	591
Relations among modes [**]	Relationer mellan metoder [**]	N?	0	ACM	584
Relations between models	Relationer mellan modeller	N?	0	ACM	575
relationship, relationships	samband, sambandet, samband	N	1	GF	1222
relationship|s	förhållande relationer	N?	0	ICT	2762
relative	relativ	N?	0	ICT	2763
relatively	förhållandevis	N?	0	ICT	2764
Relativized computation	Relativiserad databehandling	N?	0	ACM	585
relax	"""koppla av"""	N?	0	ICT	2765
Relaxation	Relaxation	N?	0	ACM	1180
relaxed consistency	avslappnad konsistens	N?	0	ICT	2766
relay, relays	relä, reläen, reläer	N	1	GF	1223
relay|s  relaying	relä reläer vidarebefordra	N?	0	ICT	2767
release releases released	frigöra releaser frigjorda	N?	0	ICT	2768
Relevance feedback		N?	0	ACM	883
relevance feedback	relevans återkoppling	N?	0	ICT	2769
relevant	relevanta	N?	0	ICT	2770
Reliability	Tillförlitlighet	N?	0	ACM	352
Reliability	Tillförlitlighet	N?	0	ACM	499
Reliability and life testing	Tillförlitlighet	N?	0	ACM	791
Reliability and robustness	Tillförlitlighet och robusthet	N?	0	ACM	806
Reliability and Testing [**] (8)	Tillförlitlighet och provning	N?	0	ACM	128
Reliability and Testing [**] (8)	Tillförlitlighet och provning	N?	0	ACM	145
Reliability and Testing [**] (8)	Tillförlitlighet och provning [**] (8)	N?	0	ACM	176
Reliability, availability, and serviceability	Tillförlitlighet, tillgänglighet och servicevänlighet	N?	0	ACM	285
Reliability, Testing, and Fault-Tolerance	Tillförlitlighet, provning och feltolerans	N?	0	ACM	185
Reliability, Testing, and Fault-Tolerance [**] (8)	Tillförlitlighet, provning och feltolerans [**] (8)	N?	0	ACM	106
Reliability, Testing, and Fault-Tolerance [**] (8)	Tillförlitlighet, provning och feltolerans [**] (8)	N?	0	ACM	49
Reliability, Testing, and Fault-Tolerance [**] (8)	Tillförlitlighet, provning och feltolerans [**] (8)	N?	0	ACM	77
reliable	pålitlig, pålitligt, pålitliga	A	1	GF	1224
reliable reliability	pålitlig tillförlitlighet	N?	0	ICT	2771
relinquishes	avstår	N?	0	ICT	2772
reluctant	motvillig	N?	0	ICT	2773
remain remaining	förbli återstående	N?	0	ICT	2774
remember	minns	N?	0	ICT	2775
reminder	påminnelse	N?	0	ICT	2776
remote	avlägsen, avlägset, avlägsna	A	1	GF	1225
Remote Authentication Dial In User Service (RADIUS)	fjärrautentisering uppringningsanvändarservice	N?	0	ICT	2778
remote control user interface	fjärrkontroller användargränssnitt	N?	0	ICT	2779
remote controlling	fjärrstyrning	N?	0	ICT	2780
remote desktop	fjärrskrivbord	N?	0	ICT	2781
remote heterodyne detection	fjärr heterodyn detektering	N?	0	ICT	2782
remote management	fjärrhantering	N?	0	ICT	2783
remote patient monitoring system	fjärrpatientövervakningssystem	N?	0	ICT	2784
remote remotely	fjärr avlägset 	N?	0	ICT	2777
remote residential control system	fjärr bostadsområde styrsystem	N?	0	ICT	2785
remote service	fjärrtjänst	N?	0	ICT	2786
Remote systems [**]	Fjärrsystem [**]	N?	0	ACM	1098
remoting	fjärrkommunikation	N?	0	ICT	2787
remove removing removable	avlägsna avlägsnande avtagbar	N?	0	ICT	2788
rendering, renderings	rendering, renderingen, renderingar	N	1	GF	1226
rendezvous routing	rendezvous routning	N?	0	ICT	2789
renewable	förnyelsebar/förnybar	N?	0	ICT	2790
renewable energy	förnyelsebar energy/förnybar energi	N?	0	ICT	2791
Renewal theory		N?	0	ACM	792
rent/buy	hyra/köpa	N?	0	ICT	2792
renting	hyra	N?	0	ICT	2793
repeated repetition	upprepad upprepning	N?	0	ICT	2794
repeater repeaters	repeatern repeatrar	N?	0	ICT	2795
repeater system	relästation/repeater 	N?	0	ICT	2796
replace replaces  replacing replaced replacement	ersätt ersätter ersätter ersättas ersättning	N?	0	ICT	2797
replaceable	ersättlig, ersättligt, ersättliga	A	1	GF	1227
replacement, replacements	ersättning, ersättningen, ersättningar	N	1	GF	1228
reply replies	svara/svar svar	N?	0	ICT	2798
report reports reporting reported	"rapport rapporter ""som rapporterar"" rapporterade"	N?	0	ICT	2799
Report writers		N?	0	ACM	840
report, reported, reported	 rapportera, rapporterade, rapporterat	V	1	GF	1229
report, reports	rapport, rapporten, rapporter	N	1	GF	1230
reporting	rapportering	N?	0	ICT	2800
repository repositories	förvaret förråd	N?	0	ICT	2801
Representation [**]	Representation [**]	N?	0	ACM	397
Representation languages	Representationsspråk	N?	0	ACM	1029
Representational State Transfer (REST)		N?	0	ICT	2804
Representations (general and polynomial)	Representationer (allmänna och polynomiella)	N?	0	ACM	982
Representations (procedural and rule-based)	Representationer (procedur- och regelbaserade)	N?	0	ACM	1030
Representations, data structures, and transforms	Representationer, datastrukturer och transformer	N?	0	ACM	1075
representative	representativ	N?	0	ICT	2802
represented representing	representerade representerar	N?	0	ICT	2803
request requested requests requesting	"begäran begärda förfrågningar ""som begär"""	N?	0	ICT	2805
request, requested, requested	 begära, begärde, begärt	V	1	GF	1231
request, requests	begäran, begäran, begäran	N	1	GF	1232
require requires requiring required requirement|s	kräver kräver kräver erforderliga krav	N?	0	ICT	2806
require, required, required	 kräva, krävde, krävt	V	1	GF	1233
requirement, requirements	krav, kravet, krav	N	1	GF	1234
requirements analysis, requirements analyses	kravhantering, kravhanteringen, kravhanteringar	N	1	GF	1235
requirements management	kravhantering	N?	0	ICT	2807
requirements specification	kravspecifikation	N?	0	ICT	2808
Requirements/Specifications (3.1)	Kravspecifikationer	N?	0	ACM	318
reregistration	omregistrering	N?	0	ICT	2809
reroutes rerouted	omdirigerar omdirigerats	N?	0	ICT	2810
resampling	omsampling	N?	0	ICT	2811
research institutes	forskningsinstitut	N?	0	ICT	2813
research policy	forskningspolitik	N?	0	ICT	2814
research researchers	forska/forskning forskare	N?	0	ICT	2815
research researchers	forskning forskare	N?	0	ICT	2812
research, researched, researched	 efterforska, efterforskade, efterforskat	V	1	GF	1236
research, researches	forskning, forskningen, forskningar	N	1	GF	1237
reservation reserved	reservationen reserverade	N?	0	ICT	2817
reservation, reservations	bokning, bokningen, bokningar	N	1	GF	1238
reset	återställ	N?	0	ICT	2818
residential	bostadsområde	N?	0	ICT	2819
resilience	motståndskraft	N?	0	ICT	2820
Resolution	Resolution	N?	0	ACM	1022
resolution, resolutions	upplösning, upplösningen, upplösningar	N	1	GF	1239
resolve resolved resolution	lösa löst upplösning	N?	0	ICT	2821
resource allocation	resursallokering	N?	0	ICT	2825
resource event agent	resurs händelse agent	N?	0	ICT	2826
REsource LOcation And Discovery (RELOAD)		N?	0	ICT	2827
resource management system	resurshanteringssystem	N?	0	ICT	2828
resource monitoring	resurs övervakning	N?	0	ICT	2829
resource planning	resursplanering	N?	0	ICT	2830
resource priority	resurs prioritet	N?	0	ICT	2831
resource requirement search, resource requirement searches	resurskravsökning, resurskravsökningen, resurskravsökningar	N	1	GF	1240
resource reservation	resurs reservation	N?	0	ICT	2832
resource reservation protocol - traffic engineering (RSVP-TE)	resurs reservation protokoll - trafikteknik	N?	0	ICT	2833
resource resources	resurs resurser	N?	0	ICT	2834
resource, resources	resurs, resursen, resurser	N	1	GF	1241
resource-adaptive	resurs adaptiv	N?	0	ICT	2823
resource-aware	resursmedveten	N?	0	ICT	2824
Resources, events, agents (REA) ontology	resurser, händelser, agenter ontologi	N?	0	ICT	2835
resource|s	resurs medel	N?	0	ICT	2822
respect respectively	respekt respektive	N?	0	ICT	2836
respond responds responders	reagera reagerar responders	N?	0	ICT	2837
response responses responsible responsibilities responsive responsibility	ansvariga responssvar ansvarsområden reagerar ansvar	N?	0	ICT	2838
response, responses	respons, responsen, responser	N	1	GF	1242
responsibility distribution	ansvarsfördelning	N?	0	ICT	2839
responsibility, responsibilities	ansvar, ansvaret, ansvar	N	1	GF	1243
responsible on site	ansvarig på plats	N?	0	ICT	2840
responsive (web) design	följsam webbdesign	N?	0	ICT	2841
restaurant	restaurang	N?	0	ICT	2842
Restoration	Restaurering	N?	0	ACM	1167
restore	återställa	N?	0	ICT	2843
restricted	begränsad	N?	0	ICT	2844
Restructuring, reverse engineering, and reengineering		N?	0	ACM	377
result results resulted resulting	resultat resultaten resulte resulterande	N?	0	ICT	2845
result, results	resultat, resultatet, resultat	N	1	GF	1244
resume	återuppta	N?	0	ICT	2846
retain retaining retention	behålla kvarhållande kvarhållande/fasthållande	N?	0	ICT	2847
Retargetable compilers	Omriktningsbara kompilatorer	N?	0	ACM	463
retransmission	återutsändning	N?	0	ICT	2849
Retrieval models		N?	0	ACM	884
retrieve retrieving	hämta hämtning	N?	0	ICT	2851
retroreflector	retroreflektor	N?	0	ICT	2852
retry retries	"""försöka igen"" återförsök"	N?	0	ICT	2850
return returns returning returned	åter avkastning återvänder tillbaka	N?	0	ICT	2853
reusability	återanvändbarhet	N?	0	ICT	2855
Reusable libraries	Återanvändbara bibliotek	N?	0	ACM	410
Reusable Software	Återanvändbara program	N?	0	ACM	408
Reusable software [**]	Återanvändbara program [**]	N?	0	ACM	414
Reuse models	Återanvändningsmodeller	N?	0	ACM	411
reuse re-use	återanvändning	N?	0	ICT	2854
revenue model	intäktsmodell	N?	0	ICT	2857
revenue|s	intäkter	N?	0	ICT	2856
reverse engineering	omvänd ingenjörskonst	N?	0	ICT	2859
revert	återgå	N?	0	ICT	2858
review reviewer	översyn/granska/sammanställning granskaren	N?	0	ICT	2860
revised revision	reviderad revidering	N?	0	ICT	2861
revolution	revolution/omvälvning	N?	0	ICT	2862
RFID pen	RFID penna	N?	0	ICT	2863
RFID security model	RFID säkerhetsmodell	N?	0	ICT	2864
right|s	rätt rättigheter	N?	0	ICT	2865
ring rings ringing	ringa ringer ringa	N?	0	ICT	2866
ringback tones	ringsignaler	N?	0	ICT	2867
RISC/CISC, VLIW architectures	RISC/CISC-, VLIW-arkitekturer	N?	0	ACM	202
risk analysis	riskanalys	N?	0	ICT	2868
risk assessment	riskbedömningsmetod	N?	0	ICT	2869
risk auditing	riskuppföljning	N?	0	ICT	2870
risk identification	riskidentifiering	N?	0	ICT	2871
risk management	riskhantering	N?	0	ICT	2872
risk management process	riskprocess	N?	0	ICT	2873
risk perception	riskperception	N?	0	ICT	2874
roadside	vägkanten	N?	0	ICT	2875
roaming	roaming	N?	0	ICT	2876
robot, robots	robot, roboten, robotar	N	1	GF	1245
Robotics	Robotik	N?	0	ACM	1059
robotics, robotics	robotik, robotiken, robotiker	N	1	GF	1246
robotic|s	robotik	N?	0	ICT	2877
Robust regression		N?	0	ACM	793
robustness	robusthet	N?	0	ICT	2878
role	roll	N?	0	ICT	2879
role, roles	roll, rollen, roller	N	1	GF	1247
rollout	utrullning	N?	0	ICT	2880
root, rooted, rooted	 roota, rootade, rootat	V	1	GF	1248
Roots of Nonlinear Equations		N?	0	ACM	712
rotation	vridning	N?	0	ICT	2881
rough roughly	ungefärlig ungefär	N?	0	ICT	2882
roughness	ytråhet	N?	0	ICT	2883
round robin	round robin	N?	0	ICT	2884
round rounds rounding	runda rundor avrundnings	N?	0	ICT	2885
round-trip	rundresa	N?	0	ICT	2886
route routes routed routing	väg vägar dirigeras dirigering	N?	0	ICT	2887
router platform development	router plattformsutveckling	N?	0	ICT	2888
router routers	router	N?	0	ICT	2889
router, routers	router, routern, routrar	N	1	GF	1249
Routers	Routrar	N?	0	ACM	270
routine, routines	rutin, rutinen, rutiner	N	1	GF	1250
routing	routning	N?	0	ICT	2890
Routing and layout	Routning och layout	N?	0	ACM	606
routing protocol, routing protocols	routingprotokoll, routingprotokollet, routingprotokoll	N	1	GF	1251
Routing protocols	Routingprotokoll	N?	0	ACM	252
routing table, routing tables	dirigeringstabell, dirigeringstabellen, dirigeringstabeller	N	1	GF	1252
RTP redirection	RTP-omdirigering	N?	0	ICT	2891
rule rules	regel regler	N?	0	ICT	2892
rule, rules	regel, regeln, regler	N	1	GF	1253
Rule-based databases		N?	0	ACM	849
rules and guidelines	regler samt anvisningar	N?	0	ICT	2893
run runs running	körning körs rinnande	N?	0	ICT	2894
run, ran, run	 köra, körde, kört	V	1	GF	1254
Run-time environments	Run-timemiljöer	N?	0	ACM	464
runtime	körtids	N?	0	ICT	2895
runtime error, runtime errors	exekveringsfel, exekveringsfelet, exekveringsfel	N	1	GF	1255
runtime, runtimes	körningstid, körningstiden, körningstider	N	1	GF	1256
rural	landsbygd	N?	0	ICT	2896
SaaS adoption	SaaS antagandet	N?	0	ICT	2897
SaaS user	SaaS användaren	N?	0	ICT	2898
safety	säkerhet	N?	0	ICT	2899
safety, safeties	säkerhet, säkerheten, säkerheter	N	1	GF	1257
sales	försäljning	N?	0	ICT	2900
sales trends	försäljningsutveckling	N?	0	ICT	2901
sammanfattning sammanfatta sammanfattar	summary summarize summarizing	N?	0	ICT	3292
sample samples sampling sampled	prov prover provtagning samplade	N?	0	ICT	2902
sample, sampled, sampled	 provsmaka, provsmakade, provsmakat	V	1	GF	1258
Sampling	Sampling	N?	0	ACM	1155
SAP Community Network (SCN)	SAP forumet nätverk	N?	0	ICT	2903
satellite communication	satellit kommunikationsnät	N?	0	ICT	2905
satellite|s	satellit	N?	0	ICT	2904
satisfaction, satisfactions	tillfredsställelse, tillfredsställelsen, tillfredsställelser	N	1	GF	1259
satisfy satisfactory	tillfreds tillfredsställande	N?	0	ICT	2906
save, saved, saved	 spara, sparade, sparat	V	1	GF	1260
saves saved	sparar sparade	N?	0	ICT	2907
saving|s	spara besparingar	N?	0	ICT	2908
say says saying	"säg säger ""att säga"""	N?	0	ICT	2909
SBC	Sveriges Bostadsrättscentrum AB (SBC )	N?	0	ICT	2910
SC		N?	0	ICT	2911
SCADA networks	SCADA-nätverk	N?	0	ICT	2912
SCADA security	SCADA säkerhet	N?	0	ICT	2913
scalability	skalbarhet	N?	0	ICT	2914
scalability, scalabilities	skalbarhet, skalbarheten, skalbarheter	N	1	GF	1261
scalable	skalbarhet	N?	0	ICT	2915
scalable vector graphics (SVG)	skalbar vektorgrafik 	N?	0	ICT	2916
scalar	skalär	N?	0	ICT	2917
scale invariance	skala invarians	N?	0	ICT	2919
scale scales scaling	skala skalor skalnings	N?	0	ICT	2918
scale, scaled, scaled	 skala, skalade, skalat	V	1	GF	1262
scale, scales	skala, skalan, skalor	N	1	GF	1263
scale-invariant feature transform (SIFT)	skala invariant funktion transform 	N?	0	ICT	2920
scale-space extrema detection	skala-space extrema detektering	N?	0	ICT	2921
scan and print method	skanna och skriv ut-metoden	N?	0	ICT	2922
scanner, scanners	skanner, skannern, skannrar	N	1	GF	1264
Scanning	Bildinläsning	N?	0	ACM	1284
Scanning	Skanning	N?	0	ACM	1156
scanning	skanning	N?	0	ICT	2923
scattered	spridda	N?	0	ICT	2924
scatternet|s	spridanät scatternets	N?	0	ICT	2925
scavenging		N?	0	ICT	2926
scenario analysis	scenarioanalys	N?	0	ICT	2928
scenario|s	scenarier	N?	0	ICT	2927
Scene Analysis	Scenanalys	N?	0	ACM	1188
scene graph	scen graf	N?	0	ICT	2929
schedule|s scheduled scheduling	tidtabell scheman planerad tidplanering	N?	0	ICT	2930
Scheduling	Schemaläggning	N?	0	ACM	1058
Scheduling	Schemaläggning	N?	0	ACM	474
scheduling concepts	schemaläggning koncept	N?	0	ICT	2931
schema	schema / schematisk framställning	N?	0	ICT	2932
Schema and subschema		N?	0	ACM	830
scheme schemes	schema scheman	N?	0	ICT	2933
school/school	skola/skolor	N?	0	ICT	2934
science literacy	naturvetenskaplig allmänbildning	N?	0	ICT	2936
science sciences scientific scientists	vetenskap vetenskaper vetenskaplig vetenskapsmän	N?	0	ICT	2935
science, sciences	vetenskap, vetenskapen, vetenskaper	N	1	GF	1265
scientific	vetenskaplig, vetenskapligt, vetenskapliga	A	1	GF	1266
Scientific databases	Vetenskapliga databaser	N?	0	ACM	864
SCN space for the user interface development toolkit for HTML5 (SAPUI5)		N?	0	ICT	2937
scope scoping scoped	"omfattning omfattnings ""med omfattningen"""	N?	0	ICT	2938
scope, scopes	räckvidd, räckvidden, räckvidder	N	1	GF	1267
scramble, scrambled, scrambled	 förvränga, förvrängde, förvrängt	V	1	GF	1268
scratch card/bank card packaging process	skrapkort / bankkort förpackningsprocessen	N?	0	ICT	2939
scratch, scratched, scratched	 repa, repade, repat	V	1	GF	1269
scratch, scratches	repa, repan, repor	N	1	GF	1270
